날짜,KRX_Close,KOSPI_Close,KOSDAQ_Close,Gold_Close,Exchange_Rate
2019-06-07 00:00:00,2072.33,1997.17,716.53,1341.199951171875,
2019-06-10 00:00:00,2099.49,2025.68,721.14,1324.699951171875,
2019-06-11 00:00:00,2111.81,2035.03,728.79,1326.4000244140625,
2019-06-12 00:00:00,2108.75,2031.69,724.32,1331.9000244140625,
2019-06-13 00:00:00,2103.15,2020.64,726.68,1339.199951171875,
2019-06-14 00:00:00,2095.41,2014.98,722.25,1340.0999755859375,
2019-06-17 00:00:00,2090.73,2011.91,719.13,1338.699951171875,
2019-06-18 00:00:00,2098.71,2021.12,714.86,1346.5999755859375,
2019-06-19 00:00:00,2124.78,2049.58,717.71,1344.5999755859375,
2019-06-20 00:00:00,2131.29,2055.04,727.32,1392.9000244140625,
2019-06-21 00:00:00,2125.62,2051.2,722.64,1396.199951171875,
2019-06-24 00:00:00,2126.33,2052.94,717.69,1414.300048828125,
2019-06-25 00:00:00,2121.64,2050.7,710.02,1414.9000244140625,
2019-06-26 00:00:00,2121.85,2052.56,709.37,1411.5999755859375,
2019-06-27 00:00:00,2134.32,2067.05,698.21,1408.4000244140625,
2019-06-28 00:00:00,2130.62,2065.36,690.53,1409.699951171875,
2019-07-01 00:00:00,2129.74,2062.99,696.0,1385.5999755859375,
2019-07-02 00:00:00,2122.02,2053.8,696.25,1404.5999755859375,
2019-07-03 00:00:00,2096.02,2026.67,693.04,1417.699951171875,
2019-07-04 00:00:00,2108.73,2041.29,691.27,1417.699951171875,
2019-07-05 00:00:00,2110.59,2041.16,694.17,1396.699951171875,
2019-07-08 00:00:00,2064.17,1999.56,668.72,1397.0,
2019-07-09 00:00:00,2052.03,1991.57,657.8,1397.5,
2019-07-10 00:00:00,2058.78,1997.37,666.9,1410.0999755859375,
2019-07-11 00:00:00,2080.58,2018.75,677.09,1404.300048828125,
2019-07-12 00:00:00,2086.66,2025.15,681.17,1409.9000244140625,
2019-07-15 00:00:00,2082.48,2024.03,674.79,1411.4000244140625,
2019-07-16 00:00:00,2091.87,2033.19,674.42,1409.199951171875,
2019-07-17 00:00:00,2072.92,2015.39,666.28,1421.300048828125,
2019-07-18 00:00:00,2066.55,2008.66,665.15,1426.0999755859375,
2019-07-19 00:00:00,2094.36,2035.88,674.06,1425.0999755859375,
