지수명,시가,종가,등락률,거래량,거래대금
코스피 200 커뮤니케이션서비스,0.0,1668.85,0.0,1353544525,108295289178380
코스피 200 건설,0.0,301.02,0.0,1326942254,61778840450674
코스피 200 중공업,0.0,411.15,0.0,4891910463,115951314463975
코스피 200 철강/소재,0.0,826.68,0.0,703893258,138445310870603
코스피 200 에너지/화학,0.0,1226.47,0.0,1945215354,180823344776465
코스피 200 정보기술,0.0,3487.12,0.0,6005998983,531169819949537
코스피 200 금융,0.0,786.64,0.0,4044380509,112347539307124
코스피 200 생활소비재,0.0,886.76,0.0,1245172924,74041579831059
코스피 200 경기소비재,0.0,1700.13,0.0,2472376174,139704630641804
코스피 200 산업재,0.0,650.16,0.0,5637972001,259220368369124
코스피 200 헬스케어,0.0,1803.24,0.0,1086463272,78517967233930
음식료품,0.0,4182.72,0.0,2680307321,28772963837661
섬유의복,0.0,251.12,0.0,1693117062,7657537996105
종이목재,0.0,291.36,0.0,2127226802,19417246738295
화학,0.0,4550.73,0.0,8571161330,297108545715348
의약품,0.0,13481.85,0.0,4590074971,87537957536267
비금속광물,0.0,4177.53,0.0,1943452727,17384499024580
철강금속,0.0,5136.87,0.0,9696204171,185204476851533
기계,0.0,1426.62,0.0,10825648266,159043895025021
전기전자,0.0,28502.04,0.0,19612628617,846901016960404
의료정밀,0.0,1699.52,0.0,1126667959,15301903476905
운수장비,0.0,2608.32,0.0,9924597124,214837262906206
유통업,0.0,351.66,0.0,9526839593,111591381749299
전기가스업,0.0,729.48,0.0,953038271,18480165695921
건설업,0.0,70.27,0.0,6195515835,36676497790936
운수창고업,0.0,1629.43,0.0,8370187143,53557979276923
통신업,0.0,388.35,0.0,672060139,15145192170947
금융업,0.0,438.7,0.0,11042469241,231217550956360
증권,0.0,1965.07,0.0,2062297579,13263034944969
보험,0.0,19972.12,0.0,1862386529,26275647332127
서비스업,0.0,1036.65,0.0,9120173525,183939925703544
제조업,0.0,7209.8,0.0,74552706190,1890278698418250
코스피 대형주,0.0,2667.58,0.0,21676162875,1564471758222858
코스피 중형주,0.0,3031.17,0.0,24582513091,458275470374763
코스피 소형주,0.0,2380.43,0.0,71245958997,361739513553852
코스피 200 비중상한 30%,0.0,365.84,0.0,30713869717,1800296005072675
코스피 200 비중상한 25%,0.0,361.18,0.0,30713869717,1800296005072675
코스피 200 비중상한 20%,0.0,349.84,0.0,30713869717,1800296005072675
코스피 200 TOP 10,0.0,1319.31,0.0,6103218886,778654902254547
