지수명,시가,종가,등락률,거래량,거래대금
코스닥 기술성장기업부,0.0,4927.32,0.0,37096800398,597631946750604
코스닥,0.0,850.75,0.0,256481495381,2448435202707860
코스닥 150,0.0,1378.13,0.0,24861527693,929457700259964
코스닥 글로벌,0.0,1510.05,0.0,6266319408,362027900526469
코스닥 150 정보기술,0.0,834.68,0.0,8059381336,260795299141786
코스닥 150 헬스케어,0.0,3603.25,0.0,6320892923,195337555759543
코스닥 150 커뮤니케이션서비스,0.0,2241.28,0.0,1282608139,56830788195258
코스닥 150 소재,0.0,4983.86,0.0,1963574591,211246794039241
코스닥 150 산업재,0.0,347.78,0.0,1919674726,160121768967640
코스닥 150 필수소비재,0.0,406.97,0.0,1942688102,14311488208431
코스닥 150 자유소비재,0.0,675.47,0.0,1552874747,16454088685725
기타서비스,0.0,3863.1,0.0,17534237031,213116093574079
코스닥 IT,0.0,1061.47,0.0,88914072296,872859412382292
제조업,0.0,2733.14,0.0,103192667821,1035811859360211
건설,0.0,71.52,0.0,1952004290,11789033684915
유통,0.0,491.91,0.0,15771286005,82404580163637
운송,0.0,2884.66,0.0,279758809,1134540588227
금융,0.0,1461.13,0.0,10120541121,172236048182853
오락·문화,0.0,465.71,0.0,4447803634,39159587226656
통신방송서비스,0.0,887.21,0.0,5663367695,23795343094922
IT S/W & SVC,0.0,1434.95,0.0,34022154103,295010179037279
IT H/W,0.0,716.75,0.0,49228550498,554053890250091
음식료·담배,0.0,5722.94,0.0,7829227269,31117108559698
섬유·의류,0.0,59.36,0.0,1404729963,9175446275465
종이·목재,0.0,11661.39,0.0,129772505,2434074295228
출판·매체복제,0.0,2360.2,0.0,3978122760,15396849949590
화학,0.0,3455.79,0.0,13023658305,143363692020508
제약,0.0,8721.34,0.0,12318938869,174327830078521
비금속,0.0,50849.92,0.0,1885049347,6899194022980
금속,0.0,1989.15,0.0,11351482371,67910475840121
기계·장비,0.0,537.36,0.0,18853826040,188335648849091
일반전기전자,0.0,1797.29,0.0,13030374939,261780710749222
의료·정밀기기,0.0,2028.84,0.0,10125979606,82452123691950
운송장비·부품,0.0,4270.5,0.0,7642990515,42318332238858
기타제조,0.0,877.55,0.0,1618515332,10300372788979
통신서비스,0.0,581.46,0.0,903244453,4653888332750
방송서비스,0.0,2739.76,0.0,4760123242,19141454762172
인터넷,0.0,12868.58,0.0,1092885031,7936948794397
디지털컨텐츠,0.0,774.43,0.0,5480813975,54387414134957
소프트웨어,0.0,214.56,0.0,19958065557,209255687400763
컴퓨터서비스,0.0,214.15,0.0,7490389540,23430128707162
통신장비,0.0,129.51,0.0,6716668162,37559201113188
정보기기,0.0,10.9,0.0,2079874567,15170495004080
반도체,0.0,2056.38,0.0,25679848194,381380398261977
IT부품,0.0,1224.6,0.0,14752159575,119943795870846
코스닥 대형주,0.0,1982.48,0.0,17143891171,836132200330255
코스닥 중형주,0.0,748.07,0.0,43296009260,588799116429616
코스닥 소형주,0.0,2767.47,0.0,166502845926,753274909245919
코스닥 우량기업부,0.0,1889.24,0.0,55806249558,1055316016075472
코스닥 벤처기업부,0.0,1661.41,0.0,53473511407,398499046204666
코스닥 중견기업부,0.0,1507.92,0.0,95019639265,507287878484168
코스닥 기술성장기업부,0.0,4863.01,0.0,28608204534,450584200227568
